CylinderConfiguration,Price,PriceType,SimpleAge,SellerType,Make,Model,BodyType,Year,Kilometers,Trasmission,DriveTrain,FuelType,Colour,AirConditioning,ANCAPRating,GreenStarRating
4,13999,FIXED,18h,Dealer used,Holden,LX (4x2),Ute,2013,258000,Automatic,Rear Wheel Drive,Diesel,White,TRUE,4,2.5
4,6999,FIXED,4h,Dealer used,Mazda,LUXURY SPORTS,Hatchback,2005,194417,Manual,Front Wheel Drive,Petrol - Premium Unleaded,Red,TRUE,5,3.5
8,299990,FIXED,16h,Dealer used,Ferrari,SPIDER,Convertible,2005,56789,Manual,Rear Wheel Drive,Petrol - Premium Unleaded,Red,TRUE,5,2.5
4,7499,FIXED,18h,Dealer used,Mazda,CLASSIC (4x4),SUV,2007,216036,Automatic,All Wheel Drive,Petrol - Premium Unleaded,Grey,TRUE,5,4
4,12888,DRIVE_AWAY,17h,Dealer used,Mitsubishi,LX,Sedan,2013,75505,Automatic,Front Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,3.5
4,79,FIXED,5h,Dealer used,Ford,XL 2.2 HI-RIDER (4x2),Ute,2015,120000,Automatic,Rear Wheel Drive,Diesel,White,TRUE,5,2.5
4,4999,DRIVE_AWAY,57m,Dealer used,Mercedes-Benz,CLASSIC,Hatchback,2005,150221,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Red,TRUE,5,3.5
4,5249,DRIVE_AWAY,6h,Dealer used,Mazda,CLASSIC,Sedan,2005,217839,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,3
4,14999,DRIVE_AWAY,8h,Dealer used,Nissan,ST (4x4),Ute,2012,191282,Manual,4x4,Diesel,Red,TRUE,3,2.5
4,8999,FIXED,5h,Dealer used,Subaru,X,SUV,2010,0,Automatic,All Wheel Drive,Petrol - Unleaded,White,TRUE,5,3.5
6,7999,DRIVE_AWAY,2h,Dealer used,Holden,SV6,Sedan,2011,229461,Automatic,Rear Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,3
4,5750,FIXED,18h,Dealer used,Holden,All Others,Hatchback,2012,178000,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,4
4,33888,DRIVE_AWAY,17h,Dealer used,Honda,VTi-S (AWD),SUV,2018,17658,Automatic,All Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,3.5
4,270,NEGOTIABLE,3h,Private seller,Toyota,LWB,Van/Minivan,2012,150000,Automatic,Rear Wheel Drive,Diesel,White,TRUE,3,2.5
2,9990,DRIVE_AWAY,2h,Dealer used,Fiat,TWIN AIR,Hatchback,2012,57775,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,White,TRUE,5,5
4,27000,FIXED,18h,Private seller,Hyundai,SR PREMIUM,Hatchback,2017,22000,Automatic,Front Wheel Drive,Petrol - Unleaded,Black,TRUE,5,3.5
4,4199,DRIVE_AWAY,5h,Dealer used,Toyota,ASCENT,Sedan,2006,217922,Manual,Front Wheel Drive,Petrol - Unleaded,Other,TRUE,3,1.5
4,24888,DRIVE_AWAY,55m,Dealer used,Honda,VTi-L,Sedan,2017,9411,Automatic,Front Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,4
6,5999,FIXED,16h,Dealer used,Holden,V,Sedan,2006,270756,Automatic,Rear Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,2.5
4,7300,DRIVE_AWAY,3h,Dealer used,Honda,(4x4) LUXURY,SUV,2009,201018,Automatic,4x4,Petrol - Unleaded,Silver,TRUE,4,3
4,35888,DRIVE_AWAY,19h,Dealer used,Toyota,SR (4x4),Ute,2014,66516,Automatic,4x4,Diesel,Silver,FALSE,5,2.5
8,17980,FIXED,1h,Dealer used,Mercedes-Benz,500,Coupe (2 door),2005,164429,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,5,3.5
4,19990,DRIVE_AWAY,8h,Dealer used,Honda,VTi-L,Sedan,2014,71291,Automatic,Front Wheel Drive,Petrol - Unleaded,Red,TRUE,5,3.5
4,24987,DRIVE_AWAY,45m,Dealer used,Honda,VTi,SUV,2018,1999,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,4.5
4,9999,FIXED,3h,Dealer used,Ford,XL (4x2),Ute,2010,134000,Manual,Rear Wheel Drive,Diesel,White,TRUE,3,2.5
4,8199,DRIVE_AWAY,1h,Dealer used,Mazda,CLASSIC,Wagon,2008,186403,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Other,TRUE,5,2.5
6,17988,FIXED,5h,Dealer used,Range Rover,SPORT 2.7 TdV6,SUV,2007,215567,Automatic,4x4,Diesel,Silver,TRUE,5,4
4,5990,FIXED,1h,Dealer used,Volvo,1.8,Sedan,2000,194450,Automatic,Front Wheel Drive,Petrol - Unleaded,Other,TRUE,5,4
4,29990,DRIVE_AWAY,3h,Dealer used,Nissan,NISMO RS (AWD),SUV,2018,57,Automatic,All Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,4
6,24400,NEGOTIABLE,1h,Private seller,Jeep,LAREDO (4x2),SUV,2014,77000,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,5,3
4,11199,DRIVE_AWAY,50m,Dealer used,Suzuki,GA,Hatchback,2013,122997,Automatic,Front Wheel Drive,Petrol - Unleaded,Other,TRUE,5,4
8,12999,FIXED,56m,Dealer used,Holden,SS,Sedan,2006,170000,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Other,TRUE,5,3.5
