Price,PriceType,SellerType,Make,Model,Variant,BodyType,Year,Kilometers,Trasmission,DriveTrain,FuelType,Colour,AirConditioning,ANCAPRating,GreenStarRating,CylinderConfigurationParsed
28998,FIXED,Dealer used,Ford,Ranger,XLS 3.2 (4x4),Ute,2014,166000,Manual,4x4,Diesel,White,TRUE,5,2.5,5
16999,FIXED,Dealer used,Mercedes-Benz,CDI AVANTGARDE,,Sedan,2009,184076,Automatic,Rear Wheel Drive,Diesel,Grey,TRUE,5,3.5,0
9999,FIXED,Dealer used,Suzuki,GL (4x2),,SUV,2015,137215,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,3.5,0
4200,FIXED,Dealer used,Proton,Persona,G,Sedan,2010,91851,Manual,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,4,4
4200,FIXED,Dealer used,Ford,XT,,Sedan,2006,243626,Automatic,Rear Wheel Drive,Petrol - Unleaded,Black,TRUE,5,0,0
3999,FIXED,Dealer used,Hyundai,1.6 SXi,,Hatchback,2006,162356,Automatic,Front Wheel Drive,Petrol - Unleaded,White,FALSE,5,4,0
5999,FIXED,Dealer used,Ford,GHIA (4x4),,SUV,2005,257722,Automatic,All Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,3.5,0
15990,NEGOTIABLE,Private seller,Nissan,Elgrand,LS (4x2),Van/Minivan,2008,118000,Automatic,Rear Wheel Drive,Petrol - Unleaded,Black,TRUE,5,4.5,0
21990,DRIVE_AWAY,Dealer used,Toyota,Hilux,SR (4x4),Ute,2010,243300,Manual,4x4,Diesel,White,FALSE,4,2.5,4
7490,DRIVE_AWAY,Dealer used,Holden,Commodore,ASCENT SPORT,Ute,2003,204431,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,5,5,6
7999,DRIVE_AWAY,Dealer used,Nissan,Pathfinder,ST (4x4),SUV,2005,234607,Automatic,4x4,Petrol - Unleaded,White,TRUE,5,3,6
3999,FIXED,Dealer used,Ford,XT,,Sedan,2004,274223,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,4,2.5,0
6999,FIXED,Dealer used,Ford,Falcon,XR6,Sedan,2004,224900,Automatic,Rear Wheel Drive,Petrol - Unleaded,Yellow,TRUE,5,3.5,6
11999,FIXED,Private seller,Holden,Ute,ASCENT,Ute,2010,200000,Automatic,Rear Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,4,8
41990,DRIVE_AWAY,Dealer used,Ssangyong,Rexton,,Wagon,2018,3677,Automatic,4x4,Diesel,White,TRUE,4,3,0
10999,FIXED,Dealer used,Mercedes-Benz,AVANTGARDE,,Sedan,2005,229400,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,White,TRUE,5,4,0
38990,DRIVE_AWAY,Dealer used,Holden,Z71 (4x4),,Ute,2015,79522,Automatic,4x4,Diesel,White,TRUE,5,2.5,0
17778,FIXED,Dealer used,Holden,Ute,,Ute,2017,149000,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,5,0,6
32990,FIXED,Dealer used,Kia,Carnival,S,Wagon,2017,53216,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,4.5,6
17888,DRIVE_AWAY,Dealer used,Ford,Territory,TS (RWD),SUV,2012,156062,Automatic,Rear Wheel Drive,Diesel,White,TRUE,5,2.5,6
6499,FIXED,Dealer used,Ford,Focus,TREND,Hatchback,2013,121000,Manual,Front Wheel Drive,Petrol - Unleaded,Other,TRUE,5,3.5,4
14990,FIXED,Dealer used,Mercedes-Benz,350 LUXURY (4x4),,SUV,2007,152803,Automatic,4x4,Petrol - Premium Unleaded,Silver,TRUE,5,3.5,0
11990,FIXED,Dealer used,Mercedes-Benz,AVANTGARDE,,Sedan,2002,153828,Automatic,Rear Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,3.5,0
39990,FIXED,Dealer used,BMW,6,,Convertible,2004,130452,Automatic,Rear Wheel Drive,Petrol - Unleaded,Cream,TRUE,5,3.5,0
64990,FIXED,Dealer used,Porsche,911,,Convertible,2005,72279,Automatic,4x4,Petrol - Unleaded,Silver,TRUE,5,3.5,0
5990,FIXED,Dealer used,Lexus,SPORTS LUXURY,,Sedan,2001,224613,Automatic,Rear Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,3.5,0
